@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
148.865402 , 1329.35596 ,  -1 
145.755402 , 1370.98096 ,  -1 
146.966904 , 1428.66101 ,  -1 
147.466797 , 1467.33301 ,  -1 
152.979706 , 1524.80505 ,  -1 
146.166306 , 1567.91504 ,  -1 
145.433197 , 1623.04797 ,  -1 
150.524307 , 1671.02295 ,  -1 
139.674103 , 1724.31299 ,  -1 
152.217102 , 1770.42395 ,  -1 
148.007507 , 1814.40198 ,  -1 
148.672897 , 1860.33301 ,  -1 
141.962204 , 1916.92297 ,  -1 
147.372299 , 1968.07397 ,  -1 
179.896103 , 86.2337875 ,  -1 
175.862701 , 129.815002 ,  -1 
182.490402 , 189.430893 ,  -1 
176.478897 , 229.596405 ,  -1 
180.538895 , 283.327393 ,  -1 
179.497604 , 320.133209 ,  -1 
184.171906 , 367.042511 ,  -1 
181.994598 , 430.955505 ,  -1 
179.4953 , 463.736694 ,  -1 
182.224304 , 512.44281 ,  -1 
174.391998 , 554.441528 ,  -1 
179.488205 , 607.305908 ,  -1 
183.310593 , 653.432617 ,  -1 
177.893402 , 703.327515 ,  -1 
183.753601 , 761.899475 ,  -1 
185.805801 , 809.322815 ,  -1 
180.6353 , 850.808289 ,  -1 
180.686401 , 907.015991 ,  -1 
176.1996 , 940.471313 ,  -1 
179.248993 , 997.229614 ,  -1 
177.520203 , 1031.073 ,  -1 
179.080002 , 1093.59802 ,  -1 
184.1745 , 1130.89502 ,  -1 
181.616196 , 1186.46204 ,  -1 
185.348999 , 1239.46997 ,  -1 
186.640198 , 1281.11401 ,  -1 
179.927994 , 1334.80396 ,  -1 
185.429504 , 1380.349 ,  -1 
182.878006 , 1436.45898 ,  -1 
182.848999 , 1486.00195 ,  -1 
181.742996 , 1515.98901 ,  -1 
175.768906 , 1573.51599 ,  -1 
180.417694 , 1628.51501 ,  -1 
180.238907 , 1680.18896 ,  -1 
175.772797 , 1713.16101 ,  -1 
175.559494 , 1768.77197 ,  -1 
183.681 , 1824.28894 ,  -1 
174.632706 , 1868.22205 ,  -1 
176.119797 , 1923.46497 ,  -1 
175.516495 , 1970.83105 ,  -1 
219.617004 , 90.2374725 ,  -1 
220.625702 , 140.896194 ,  -1 
218.763794 , 183.193695 ,  -1 
211.618896 , 224.790497 ,  -1 
221.101105 , 288.392914 ,  -1 
208.934006 , 332.693207 ,  -1 
217.870804 , 382.112793 ,  -1 
210.428207 , 422.545898 ,  -1 
216.042206 , 462.413605 ,  -1 
211.485199 , 506.614014 ,  -1 
217.076599 , 563.612915 ,  -1 
221.941895 , 616.300293 ,  -1 
208.185303 , 668.869507 ,  -1 
218.4198 , 702.200317 ,  -1 
208.709198 , 754.869507 ,  -1 
216.408905 , 806.189819 ,  -1 
211.886505 , 856.807983 ,  -1 
222.118698 , 899.320496 ,  -1 
218.648804 , 948.241577 ,  -1 
220.200195 , 996.82959 ,  -1 
211.597794 , 1040.09094 ,  -1 
211.782196 , 1085.96802 ,  -1 
212.920807 , 1139.02002 ,  -1 
212.574097 , 1176.422 ,  -1 
215.308197 , 1226.86694 ,  -1 
212.376602 , 1284.30896 ,  -1 
213.520004 , 1336.32898 ,  -1 
216.351395 , 1388.68396 ,  -1 
